RESOLUCAO;EMPRESA;AUTORIZACAO;MARCA;PROCESSO;REGISTRO;VENDA E EMPREGO;VENCIMENTO;APRESENTACAO;VALIDADE PRODUTO;CATEGORIA;ASSUNTO PETICAO;EXPEDIENTE PETICAO;VERSAO
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.001-3;PRODUTO DE VENDA LIVRE;03/2028;FRASCO DE PLASTICO TRANSPARENTE;24 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1897959/21-4;EUCALIPTO
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.002-1;PRODUTO DE VENDA LIVRE;03/2028;GALAO PLASTICO;24 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1897959/21-4;EUCALIPTO
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.003-1;PRODUTO DE VENDA LIVRE;03/2028;FRASCO DE PLASTICO TRANSPARENTE;24 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1897959/21-4;PINHO
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.004-8;PRODUTO DE VENDA LIVRE;03/2028;GALAO PLASTICO;24 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1897959/21-4;PINHO
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.005-6;PRODUTO DE VENDA LIVRE;03/2028;FRASCO DE PLASTICO TRANSPARENTE;24 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1897959/21-4;LAVANDA
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.006-4;PRODUTO DE VENDA LIVRE;03/2028;GALAO PLASTICO;24 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1897959/21-4;LAVANDA
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.007-2;PRODUTO DE VENDA LIVRE;03/2028;FRASCO DE PLASTICO TRANSPARENTE;24 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1897959/21-4;HERBAL E JASMIM
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.008-0;PRODUTO DE VENDA LIVRE;03/2028;GALAO PLASTICO;24 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1897959/21-4;HERBAL E JASMIM
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.009-9;PRODUTO DE VENDA LIVRE;03/2028;FRASCO DE PLASTICO TRANSPARENTE;24 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1897959/21-4;CITRONELA
RESOLUÇÃO RE Nº 2.821, DE 16 DE Julho DE 2021;Archote Indústria Química Ltda;3.00524-6;DIA% DESINFETANTE USO GERAL;25351.704205/2017-65;3.0524.0040.010-2;PRODUTO DE VENDA LIVRE;03/2028;GALAO PLASTICO;24 Meses;3205061 DESINFETANTE PARA USO GERAL;389 REG. SANEANTES - Alteração de Rotulagem de Produto;1897959/21-4;CITRONELA
